Title,Channels,Date,Home Team,Result,Away Team,Start Time
الدوري الأوروبي,بى ان سبورت 4 HD,الجولة الثالثة,فنربخشة,-,شتوتجارت,19:45
الدوري الأوروبي,بى ان سبورت 5 HD,الجولة الثالثة,فينورد,-,باناثينايكوس,19:45
الدوري الأوروبي,بى ان سبورت 2 HD,الجولة الثالثة,جينك,-,ريال بيتيس,19:45
الدوري الأوروبي,بى ان سبورت 1HD,الجولة الثالثة,جو أهيد إيجلز,-,أستون فيلا,19:45
الدوري الأوروبي,بى ان سبورت 3 HD,الجولة الثالثة,ليون,-,بازل,19:45
الدوري الأوروبي,بى ان سبورت 6 HD,الجولة الثالثة,ستيوا بوخارست,-,بولونيا,19:45
الدوري الأوروبي,بى ان سبورت اكسترا 1,الجولة الثالثة,ريد بول سالزبورج,-,فيرينكفاروسي,19:45
الدوري الأوروبي,بى ان سبورت 8 HD,الجولة الثالثة,سبورتينج براجا,-,سرفينا زافيزدا,19:45
الدوري الأوروبي,بى ان سبورت 7 HD,الجولة الثالثة,بران,-,جلاسكو رينجرز,19:45
الدوري الأوروبي,بى ان سبورت 5 HD,الجولة الثالثة,سلتيك,-,شتورم جراتس,22:00
الدوري الأوروبي,بى ان سبورت 4 HD,الجولة الثالثة,سيلتا فيجو,-,نيس,22:00
الدوري الأوروبي,بى ان سبورت 9 HD,الجولة الثالثة,فرايبورج,-,أوتريخت,22:00
الدوري الأوروبي,بى ان سبورت 7 HD,الجولة الثالثة,ليل,-,باوك سالونيكا,22:00
الدوري الأوروبي,No channels,الجولة الثالثة,مكابى تل ابيب,-,ميتييلاند,22:00
الدوري الأوروبي,بى ان سبورت 8 HD,الجولة الثالثة,مالمو,-,دينامو زغرب,22:00
الدوري الأوروبي,بى ان سبورت 1HD,الجولة الثالثة,نوتينجهام فورست,-,بورتو,22:00
الدوري الأوروبي,بى ان سبورت 3 HD,الجولة الثالثة,روما,-,فيكتوريا بلزن,22:00
الدوري الأوروبي,بى ان سبورت 5 HD,الجولة الثالثة,يونج بويز,-,لودوجوريتس,22:00
دوري المؤتمر الأوروبي,بى ان سبورت اكسترا 2,الجولة الثانية,رابيد فيينا,-,فيورنتينا,19:45
دوري المؤتمر الأوروبي,No channels,الجولة الثانية,شاختار دونيتسك,-,ليجيا وارسو,19:45
دوري المؤتمر الأوروبي,No channels,الجولة الثانية,ستراسبورج,-,نادي ياجييلونيا بياويستوك,19:45
دوري المؤتمر الأوروبي,No channels,الجولة الثانية,دريتا,-,أومونيا,19:45
دوري المؤتمر الأوروبي,No channels,الجولة الثانية,شكينديا,-,شيلبورن,19:45
دوري المؤتمر الأوروبي,No channels,الجولة الثانية,بريدابليك,-,كووبيون بالوسيورا,19:45
دوري المؤتمر الأوروبي,بى ان سبورت 9 HD,الجولة الثانية,هاكين,-,رايو فاييكانو,19:45
دوري المؤتمر الأوروبي,No channels,الجولة الثانية,ايك اثينا,-,أبيردين,19:45
دوري المؤتمر الأوروبي,No channels,الجولة الثانية,رييكا,-,سبارتا براج,19:45
دوري المؤتمر الأوروبي,بى ان سبورت اكسترا 1,الجولة الثانية,سامسون سبور,-,دينامو كييف,22:00
دوري المؤتمر الأوروبي,No channels,الجولة الثانية,سيجما أولوموتس,-,راكوف تشانستوخوفا,22:00
دوري المؤتمر الأوروبي,بى ان سبورت اكسترا 2,الجولة الثانية,يونيفيرسيتاتيا كرايوفا,-,نادي نوح,22:00
دوري المؤتمر الأوروبي,No channels,الجولة الثانية,هامرون سبارتانز,-,لويزان سبورت,22:00
دوري المؤتمر الأوروبي,No channels,الجولة الثانية,شامروك روفرز,-,نادي إن كيه تسيليى,22:00
دوري المؤتمر الأوروبي,بى ان سبورت 2 HD,الجولة الثانية,كريستال بالاس,-,آيك لارانكا,22:00
دوري المؤتمر الأوروبي,No channels,الجولة الثانية,الكمار,-,سلوفان براتيسلافا,22:00
دوري المؤتمر الأوروبي,No channels,الجولة الثانية,لينكولن,-,ليخ بوزنان,22:00
دوري المؤتمر الأوروبي,No channels,الجولة الثانية,ماينز,-,زرينيسكي موستا,22:00
دوري القسم الثاني-أ,No channels,الجولة العاشرة,بلدية المحلة,-,مسار,15:30
دوري القسم الثاني-أ,No channels,الجولة العاشرة,السكة الحديد مودرن,-,القناة,15:30
دوري القسم الثاني-أ,No channels,الجولة العاشرة,الانتاج الحربي,-,الداخلية,15:30
دوري القسم الثاني-أ,No channels,الجولة العاشرة,أبو قير للاسمدة,-,مالية كفر الزيات,15:30
دوري القسم الثاني-أ,Ontime sports 1,الجولة العاشرة,طنطا‏,-,أسوان,15:30
دوري القسم الثاني-أ,No channels,الجولة العاشرة,بترول أسيوط,-,بروكسي,15:30
الدوري السعودي,ثمانية 1,الأسبوع السادس,الرياض,-,الخلود,17:55
الدوري السعودي,ثمانية 1,الأسبوع السادس,الفيحاء,-,التعاون,18:00
الدوري السعودي,ثمانية 1,الأسبوع السادس,النجمة,-,أهلي جدة,21:00
